Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
25.0	0.0	48016.0	0.0	925.0	0.0	10814.0	0.0	3511.0	0.0	44.4	0.0	38.0	0.0	85.6	0.0	25.0	0.0	47416.8	197.64	9585.4	96.87	11755.6	114.4	825.6	29.84	3173.0	30.36	-117.6	41.73	39.14	1.48	30.42	0.3	-1.38	0.49	77.84	3.15	-3.5	1.19	5.3	1.48	7.6	0.3	39.4	0.49	12.0	3.25	20.0	0.89	104.0	1.36	-7.76	3.15	-89.1	1.19	-0.08	0.04	-1.02	0.04
30.0	0.0	48013.0	0.0	1100.0	0.0	13199.4	0.49	3511.0	0.0	52.8	0.0	46.3	0.0	87.7	0.0	30.0	0.0	47119.6	235.42	12112.8	110.4	14309.0	128.51	1006.8	24.6	3203.2	45.18	-80.8	24.39	47.44	1.18	38.8	0.42	-1.14	0.32	81.86	2.77	-2.4	0.66	5.4	1.18	7.5	0.42	47.4	0.32	10.0	2.19	16.0	1.02	102.0	0.49	-5.84	2.77	-90.1	0.66	-0.08	0.04	-1.0	0.0
35.0	0.0	48018.2	0.4	1276.0	0.0	15589.0	0.0	3511.0	0.0	61.3	0.0	54.7	0.0	89.2	0.0	35.0	0.0	47349.2	231.47	14492.2	125.79	16631.6	46.91	1149.8	21.55	3229.4	50.29	-32.6	57.89	54.44	0.9	46.78	0.91	-0.54	0.95	85.94	1.82	-0.98	1.74	6.9	0.9	7.9	0.91	55.2	0.95	11.0	1.72	14.0	1.72	101.0	1.67	-3.26	1.82	-90.18	1.74	-0.04	0.05	-1.0	0.0
40.0	0.0	48017.0	0.0	1451.0	0.0	17974.8	0.4	3511.0	0.0	69.7	0.0	63.1	0.0	90.5	0.0	40.0	0.0	47336.0	85.38	16825.8	120.26	19093.0	159.35	1326.4	59.17	3287.0	32.5	-42.4	44.92	62.78	2.87	55.3	0.31	-0.82	0.85	88.3	4.32	-1.34	1.38	6.9	2.87	7.8	0.31	63.9	0.85	10.0	4.45	12.0	0.4	101.0	1.47	-2.2	4.32	-91.84	1.38	-0.02	0.07	-1.0	0.0
45.0	0.0	48014.0	0.0	1626.0	0.0	20363.8	0.4	3511.0	0.0	78.1	0.0	71.5	0.0	91.5	0.0	45.0	0.0	47349.4	235.3	19141.0	102.73	21480.8	34.42	1473.2	55.12	3239.0	23.26	-59.2	45.08	69.74	2.31	62.0	0.73	-1.26	0.99	89.02	3.08	-1.84	1.44	8.4	2.31	9.5	0.73	72.8	0.99	11.0	3.06	13.0	1.02	102.0	1.26	-2.48	3.08	-93.34	1.44	-0.04	0.05	-1.0	0.0
50.0	0.0	48019.4	0.49	1800.0	0.0	22758.0	0.0	3511.0	0.0	86.4	0.0	79.9	0.0	92.5	0.0	50.0	0.0	47268.4	200.37	21613.0	114.51	23830.8	89.2	1660.4	18.45	3301.0	28.77	-15.8	39.82	78.48	0.83	71.34	0.79	-0.38	0.94	90.9	1.55	-0.5	1.2	7.9	0.83	8.6	0.79	80.3	0.94	9.0	0.98	11.0	1.17	101.0	1.36	-1.6	1.55	-93.0	1.2	0.0	0.0	-1.0	0.0
55.0	0.0	48016.0	0.0	1974.0	0.0	25152.4	0.49	3511.0	0.0	94.8	0.0	88.3	0.0	93.1	0.0	55.0	0.0	47416.6	211.03	24029.6	98.66	26292.2	89.2	1848.8	59.96	3326.0	39.31	-18.8	19.25	87.66	2.82	79.92	1.23	-0.52	0.5	91.26	2.25	-0.6	0.54	7.1	2.82	8.4	1.23	88.8	0.5	7.0	3.01	10.0	1.2	101.0	0.4	-1.84	2.25	-93.7	0.54	0.0	0.0	-1.0	0.0
5.0	0.0	48015.0	0.0	262.2	0.4	1163.0	0.63	4222.6	2.15	12.6	0.0	4.9	0.0	38.9	0.0	5.0	0.0	47632.6	261.66	-256.4	74.74	2371.6	128.47	106.4	19.06	3089.4	79.35	-334.6	86.01	5.04	0.89	-0.8	0.26	-0.78	0.2	-16.42	6.26	-16.4	5.85	7.6	0.89	5.7	0.26	5.7	0.2	60.0	7.32	116.0	5.22	116.0	4.08	-55.32	6.26	-55.3	5.85	-1.44	0.19	-1.42	0.15
10.0	0.0	48013.8	0.4	491.0	0.0	3527.0	0.0	4514.0	0.0	23.6	0.0	15.9	0.0	67.4	0.0	10.0	0.0	47295.4	215.89	2280.2	118.94	4621.0	41.14	369.8	40.57	4066.0	43.34	-364.4	29.64	17.48	1.94	9.28	0.52	-1.68	0.12	54.08	9.16	-9.74	1.36	6.1	1.94	6.6	0.52	17.6	0.12	26.0	8.34	42.0	3.37	111.0	0.8	-13.32	9.16	-77.14	1.36	-0.2	0.13	-1.14	0.05
15.0	0.0	48015.2	0.4	713.0	0.0	5917.6	0.49	4515.0	0.0	34.2	0.0	26.7	0.0	78.1	0.0	15.0	0.0	47443.6	101.05	4733.8	67.61	7017.2	96.87	621.6	19.46	4049.4	30.07	-263.4	40.93	29.48	0.92	19.18	0.39	-1.86	0.31	65.12	2.6	-6.34	1.12	4.7	0.92	7.5	0.39	28.6	0.31	14.0	2.53	28.0	1.41	107.0	1.17	-12.98	2.6	-84.44	1.12	-0.16	0.05	-1.1	0.0
20.0	0.0	48017.0	0.0	937.0	0.0	8305.2	0.4	4515.0	0.0	45.0	0.0	37.5	0.0	83.3	0.0	20.0	0.0	47228.0	157.44	7141.0	65.05	9460.0	76.97	824.8	30.51	4126.8	44.58	-165.8	37.14	38.96	1.46	29.48	0.47	-1.58	0.37	75.8	3.51	-4.08	1.03	6.0	1.46	8.0	0.47	39.1	0.37	13.0	3.44	21.0	1.02	104.0	0.98	-7.5	3.51	-87.38	1.03	-0.08	0.04	-1.02	0.04
25.0	0.0	48017.4	0.49	1163.0	0.0	10694.2	0.4	4515.0	0.0	55.8	0.0	48.3	0.0	86.6	0.0	25.0	0.0	47308.8	151.77	9483.8	79.14	11737.2	111.53	1033.4	63.68	4151.8	24.4	-196.6	41.27	48.88	2.91	39.4	0.21	-2.3	0.48	80.88	4.65	-4.74	1.07	6.9	2.91	8.9	0.21	50.6	0.48	12.0	5.31	18.0	0.49	105.0	0.89	-5.72	4.65	-91.34	1.07	-0.06	0.08	-1.06	0.05
30.0	0.0	48017.8	0.4	1388.0	0.0	13079.6	0.49	4515.0	0.0	66.6	0.0	59.1	0.0	88.7	0.0	30.0	0.0	47173.8	68.76	11965.0	99.53	14290.6	67.99	1299.6	54.15	4190.8	40.73	-88.0	29.75	61.3	2.48	50.14	0.88	-1.26	0.43	81.92	3.31	-2.08	0.76	5.3	2.48	9.0	0.88	60.4	0.43	8.0	3.85	15.0	1.36	102.0	0.75	-6.78	3.31	-90.78	0.76	-0.08	0.04	-1.0	0.0
35.0	0.0	48015.0	0.0	1614.0	0.0	15465.0	0.0	4515.0	0.0	77.5	0.0	69.8	0.0	90.1	0.0	35.0	0.0	47268.2	153.92	14391.0	67.91	16686.8	53.64	1519.0	40.1	4218.0	27.1	-95.6	50.19	71.8	1.79	60.68	0.47	-1.6	0.83	84.56	2.25	-2.24	1.18	5.7	1.79	9.1	0.47	71.4	0.83	7.0	2.5	13.0	0.63	102.0	1.17	-5.54	2.25	-92.34	1.18	-0.08	0.04	-1.0	0.0
40.0	0.0	48019.0	0.0	1838.2	0.4	17850.6	0.49	4515.0	0.0	88.3	0.0	80.6	0.0	91.3	0.0	40.0	0.0	47308.8	202.79	16678.4	54.09	19083.8	140.73	1690.0	18.89	4239.6	56.72	-57.2	36.91	79.96	1.23	70.68	0.77	-1.1	0.7	88.4	1.17	-1.38	0.84	8.3	1.23	9.9	0.77	81.7	0.7	9.0	1.36	12.0	1.2	101.0	1.02	-2.9	1.17	-92.68	0.84	-0.02	0.04	-1.0	0.0
45.0	0.0	48018.0	0.0	2063.0	0.0	20238.8	0.4	4515.0	0.0	99.1	0.0	91.4	0.0	92.2	0.0	45.0	0.0	47200.6	225.84	19196.6	107.68	21563.4	122.4	1954.8	73.78	4257.0	46.34	-61.4	14.68	92.28	3.84	81.72	0.76	-1.34	0.32	88.7	3.61	-1.48	0.37	6.8	3.84	9.7	0.76	92.7	0.32	7.0	3.82	11.0	1.02	101.0	0.49	-3.5	3.61	-93.68	0.37	-0.04	0.05	-1.0	0.0
50.0	0.0	48016.4	0.49	2287.0	0.0	22628.0	0.0	4515.0	0.0	109.8	0.0	102.2	0.0	93.1	0.0	50.0	0.0	47268.2	141.68	21493.2	45.07	23849.6	146.98	2120.8	31.64	4291.8	61.73	-39.2	34.68	100.22	1.51	92.24	1.21	-0.94	0.82	92.08	2.11	-0.96	0.85	9.6	1.51	10.0	1.21	103.1	0.82	9.0	1.17	10.0	1.36	101.0	0.75	-1.02	2.11	-94.06	0.85	0.0	0.0	-1.0	0.0
55.0	0.0	48015.0	0.0	2511.0	0.0	25021.8	0.4	4515.0	0.0	120.6	0.0	113.0	0.0	93.7	0.0	55.0	0.0	47200.6	233.71	23928.0	71.26	26356.6	111.16	2320.6	25.05	4298.4	47.29	-44.4	35.4	109.54	1.03	102.86	1.18	-1.18	0.95	93.88	1.27	-1.06	0.88	11.1	1.03	10.1	1.18	114.2	0.95	9.0	0.89	9.0	1.1	101.0	1.1	0.18	1.27	-94.76	0.88	0.0	0.0	-1.0	0.0
