Duty cycle (%)	DMM VHigh (mV)	DMM IHigh (mA)	DMM VLow (mV)	DMM ILow (mA)	DMM POWER High (W)	DMM POWER Low (W)	DMM Efficiency (%)	TWIST Duty Cycle (%)	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)	TWIST Power High (W)	TWIST Power Leg 1 (W)	TWIST Power Leg 2 (W)	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 2 (%)	Power High Absolute error (W)	Power Low1 Absolute error (W)	Power Low2 Absolute error (W)	Power High relative error (%)	Power Low1 relative error (%)	Power Low2 relative error (%)	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 2 (%)	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 2 (%)
25	48018	686	10947	2508	32.9	27.5	83.6	25.0	47268.0	9678.0	11811.0	575.0	2156.0	-25.0	27.2	20.9	-0.3	76.8	-1.1	5.7	6.6	27.8	17.0	24.0	101.0	-6.8	-84.7	-0.1	-1.0
25	48018	686	10947	2508	32.9	27.5	83.6	25.0	47201.0	9770.0	11949.0	559.0	2167.0	-94.0	26.4	21.2	-1.1	80.3	-4.2	6.5	6.3	28.6	20.0	23.0	104.0	-3.3	-87.8	-0.0	-1.1
25	48018	686	10947	2508	32.9	27.5	83.6	25.0	47133.0	9631.0	11673.0	607.0	2161.0	-174.0	28.6	20.8	-2.0	72.7	-7.0	4.3	6.7	29.5	13.0	24.0	107.0	-10.9	-90.6	-0.1	-1.1
25	48018	686	10947	2508	32.9	27.5	83.6	25.0	47268.0	9678.0	11673.0	596.0	2221.0	-52.0	28.2	21.5	-0.6	76.2	-2.1	4.7	6.0	28.1	14.0	22.0	102.0	-7.4	-85.7	-0.1	-1.0
30	48015	812	13333	2508	39.0	33.4	85.6	30.0	47201.0	12122.0	14254.0	660.0	2243.0	-68.0	31.2	27.2	-1.0	87.2	-3.2	7.8	6.2	34.4	20.0	19.0	103.0	1.6	-88.8	0.0	-1.0
30	48015	812	13333	2508	39.0	33.4	85.6	30.0	47268.0	12214.0	14161.0	681.0	2129.0	-110.0	32.2	26.0	-1.6	80.7	-5.0	6.8	7.4	35.0	17.0	22.0	105.0	-4.9	-90.6	-0.1	-1.1
30	48015	812	13333	2508	39.0	33.4	85.6	30.0	47066.0	11984.0	14346.0	718.0	2129.0	-9.0	33.8	25.5	-0.1	75.4	-0.3	5.2	7.9	33.5	13.0	24.0	100.0	-10.2	-85.9	-0.1	-1.0
30	48015	812	13333	2508	39.0	33.4	85.6	30.0	47201.0	12306.0	14392.0	723.0	2189.0	-57.0	34.1	26.9	-0.8	78.9	-2.3	4.9	6.5	34.2	13.0	19.0	102.0	-6.7	-87.9	-0.1	-1.0
30	48015	812	13333	2508	39.0	33.4	85.6	30.0	47538.0	12030.0	14161.0	612.0	2183.0	-148.0	29.1	26.3	-2.1	90.4	-7.2	9.9	7.1	35.5	25.0	21.0	106.0	4.8	-92.8	0.1	-1.1
35	48016	938	15723	2508	45.0	39.4	87.6	35.0	47201.0	14566.0	16604.0	803.0	2308.0	-68.0	37.9	33.6	-1.1	88.7	-2.9	7.1	5.8	40.5	16.0	15.0	103.0	1.1	-90.5	0.0	-1.0
