DMM VHigh (mV)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
75041	50.0	74954.0	-976.0	-1002.0	35.0	-267.0	-15.0
75041	50.0	75157.0	-1206.0	-1002.0	-2.0	-185.0	-9.0
75041	50.0	75022.0	-1206.0	-1233.0	-33.0	-196.0	12.0
75041	50.0	75562.0	-1114.0	-1048.0	35.0	-250.0	-4.0
75041	50.0	75022.0	-1114.0	-1048.0	-65.0	-201.0	49.0
75041	50.0	75292.0	-1206.0	-910.0	-33.0	-147.0	44.0
75041	50.0	75022.0	-1160.0	-1048.0	-44.0	-218.0	1.0
75041	50.0	74887.0	-1252.0	-1094.0	125.0	-142.0	-47.0
75041	50.0	75359.0	-1252.0	-1002.0	-49.0	-147.0	49.0
79037	50.0	78938.0	-1252.0	-1140.0	-70.0	-207.0	107.0
79038	50.0	79073.0	-1114.0	-1233.0	-2.0	-201.0	70.0
79038	50.0	78938.0	-1068.0	-1094.0	20.0	-207.0	17.0
79038	50.0	79614.0	-1252.0	-1094.0	4.0	-229.0	81.0
79038	50.0	79073.0	-1298.0	-1094.0	51.0	-261.0	17.0
79038	50.0	79343.0	-1391.0	-1233.0	-44.0	-196.0	54.0
79038	50.0	79141.0	-1022.0	-1002.0	-65.0	-158.0	65.0
79038	50.0	78803.0	-1252.0	-1140.0	104.0	-239.0	-31.0
79038	50.0	79479.0	-1114.0	-1094.0	-54.0	-239.0	81.0
79038	50.0	79006.0	-1160.0	-1048.0	20.0	-185.0	86.0
83053	50.0	83125.0	-1345.0	-1094.0	-60.0	-294.0	7.0
83053	50.0	82990.0	-1345.0	-1187.0	-113.0	-174.0	-41.0
83052	50.0	83057.0	-1206.0	-1140.0	9.0	-229.0	1.0
83053	50.0	82922.0	-1437.0	-1325.0	-81.0	-239.0	17.0
83053	50.0	83125.0	-1298.0	-1233.0	25.0	-294.0	38.0
83053	50.0	82990.0	-1391.0	-1233.0	20.0	-267.0	-4.0
